native_timeframe,direction_class,hypothesis,state,window_sec,horizon_sec,native_agreement,n,match_pct,signed_mean_bps,signed_median_bps
10m,ANALYSIS,TRAPPED_REVERSAL,BUY_TRAPPED,30,60,SAME_DIRECTION,48,64.58333333333333,0.37504095333333326,1.7009483749999998
10m,ANALYSIS,TRAPPED_REVERSAL,BUY_TRAPPED,30,60,STALE,24,54.166666666666664,-0.6241130491666665,0.45969606999999996
10m,ANALYSIS,TRAPPED_REVERSAL,BUY_TRAPPED,30,180,MISSING,66,21.21212121212121,-3.4753891410606057,-3.29477243
10m,ANALYSIS,TRAPPED_REVERSAL,BUY_TRAPPED,30,180,NATIVE_STALLED,2,50.0,-0.746122155,-0.746122155
10m,ANALYSIS,TRAPPED_REVERSAL,BUY_TRAPPED,30,180,OPPOSITE_DIRECTION,43,48.83720930232558,0.9502464051162784,-0.1562151
10m,ANALYSIS,TRAPPED_REVERSAL,BUY_TRAPPED,30,180,SAME_DIRECTION,46,54.34782608695652,-0.2489333019565218,1.68793215
10m,ANALYSIS,TRAPPED_REVERSAL,BUY_TRAPPED,30,180,STALE,24,33.333333333333336,-3.7438761604166673,-1.10330926
10m,ANALYSIS,TRAPPED_REVERSAL,BUY_TRAPPED,30,300,MISSING,66,30.303030303030305,-4.233455340606059,-3.940680455
10m,ANALYSIS,TRAPPED_REVERSAL,BUY_TRAPPED,30,300,NATIVE_STALLED,2,50.0,-1.00254386,-1.00254386
10m,ANALYSIS,TRAPPED_REVERSAL,BUY_TRAPPED,30,300,OPPOSITE_DIRECTION,43,48.83720930232558,0.7237171416279078,-0.50127512
10m,ANALYSIS,TRAPPED_REVERSAL,BUY_TRAPPED,30,300,SAME_DIRECTION,45,51.111111111111114,2.3001456606666673,0.21826913
10m,ANALYSIS,TRAPPED_REVERSAL,BUY_TRAPPED,30,300,STALE,20,30.0,-9.516818510000004,-6.518765625
10m,ANALYSIS,TRAPPED_REVERSAL,BUY_TRAPPED,30,600,MISSING,66,39.39393939393939,-5.883259247878788,-3.310345195
10m,ANALYSIS,TRAPPED_REVERSAL,BUY_TRAPPED,30,600,NATIVE_STALLED,2,50.0,-0.16319843,-0.16319843
10m,ANALYSIS,TRAPPED_REVERSAL,BUY_TRAPPED,30,600,OPPOSITE_DIRECTION,35,74.28571428571429,7.423241444571427,5.57976571
10m,ANALYSIS,TRAPPED_REVERSAL,BUY_TRAPPED,30,600,SAME_DIRECTION,37,64.86486486486487,15.154817375405404,15.65799447
10m,ANALYSIS,TRAPPED_REVERSAL,BUY_TRAPPED,30,600,STALE,20,25.0,-6.211685456,-4.61924014
10m,ANALYSIS,TRAPPED_REVERSAL,BUY_TRAPPED,60,60,MISSING,36,30.555555555555557,-1.5275041488888885,-1.82594419
10m,ANALYSIS,TRAPPED_REVERSAL,BUY_TRAPPED,60,60,NATIVE_STALLED,5,80.0,0.854802808,1.49238186
10m,ANALYSIS,TRAPPED_REVERSAL,BUY_TRAPPED,60,60,OPPOSITE_DIRECTION,35,40.0,0.15716880628571445,-0.54530299
10m,ANALYSIS,TRAPPED_REVERSAL,BUY_TRAPPED,60,60,SAME_DIRECTION,34,64.70588235294117,2.9335596838235287,2.886312715
10m,ANALYSIS,TRAPPED_REVERSAL,BUY_TRAPPED,60,60,STALE,14,92.85714285714286,3.2679397407142856,2.706712035
10m,ANALYSIS,TRAPPED_REVERSAL,BUY_TRAPPED,60,180,MISSING,36,30.555555555555557,-2.6194530775,-3.39767358
10m,ANALYSIS,TRAPPED_REVERSAL,BUY_TRAPPED,60,180,NATIVE_STALLED,5,20.0,-1.716286414,-2.70494212
10m,ANALYSIS,TRAPPED_REVERSAL,BUY_TRAPPED,60,180,OPPOSITE_DIRECTION,34,50.0,1.433734562647059,0.38079887
10m,ANALYSIS,TRAPPED_REVERSAL,BUY_TRAPPED,60,180,SAME_DIRECTION,32,68.75,4.499553169999999,5.724408385
10m,ANALYSIS,TRAPPED_REVERSAL,BUY_TRAPPED,60,180,STALE,14,78.57142857142857,4.6386173771428565,6.21877276
10m,ANALYSIS,TRAPPED_REVERSAL,BUY_TRAPPED,60,300,MISSING,36,33.333333333333336,-3.0399843536111124,-2.5806899100000003
10m,ANALYSIS,TRAPPED_REVERSAL,BUY_TRAPPED,60,300,NATIVE_STALLED,5,20.0,-1.1876832780000002,-1.321577
10m,ANALYSIS,TRAPPED_REVERSAL,BUY_TRAPPED,60,300,OPPOSITE_DIRECTION,34,73.52941176470588,2.8277034249999997,2.38424449
