source_dataset,direction_class,hypothesis,state,horizon_sec,n,window_count,mfe_p25_bps,mfe_median_bps,mfe_p75_bps,mfe_p95_bps,mae_p05_bps,mae_p25_bps,mae_median_bps,mae_p75_bps,threshold_p25_bps,threshold_median_bps,threshold_p75_bps,reached_20usd_n,reached_20usd_pct
OLD_1M,ENTRY_PROBE,STALLED_PRESSURE_PROBE,BUY_STALLED,300,2641,6,1.48983718,4.13109126,7.74190408,17.07984263,-16.60594943,-8.90409816,-4.14358981,-1.66754339,3.0153405450228035,3.030495880040851,3.037745506794677,1574,59.59863687996971
OLD_1M,ENTRY_PROBE,STALLED_PRESSURE_PROBE,BUY_STALLED,600,2558,6,2.4271433025,6.355339125,12.048651020000001,25.455584142000014,-22.3839677685,-12.3333404225,-6.50151126,-2.4909370324999998,3.015226895823911,3.030495880040851,3.0373845082328272,1788,69.89835809225958
OLD_1M,ENTRY_PROBE,STALLED_REVERSAL_PROBE,BUY_STALLED,60,2705,6,0.01520711,1.44799656,3.21753252,7.705041893999979,-7.09771438,-3.2416433,-1.35031935,-0.01517121,3.0153996459920815,3.0305463923618112,3.038119282639275,722,26.691312384473196
OLD_1M,ENTRY_PROBE,STALLED_REVERSAL_PROBE,BUY_STALLED,180,2672,6,1.0111667825,3.114605245,6.57227318,13.325986987999999,-14.068760253499999,-6.12194726,-3.16180777,-0.96407611,3.015350773882497,3.03049817602065,3.0377351254569964,1360,50.89820359281437
OLD_1M,ENTRY_PROBE,STALLED_REVERSAL_PROBE,BUY_STALLED,300,2641,6,1.66754339,4.14358981,8.90409816,16.60594943,-17.07984263,-7.74190408,-4.13109126,-1.48983718,3.0153405450228035,3.030495880040851,3.037745506794677,1585,60.01514577811435
OLD_1M,ENTRY_PROBE,STALLED_REVERSAL_PROBE,BUY_STALLED,600,2558,6,2.4909370324999998,6.50151126,12.3333404225,22.3839677685,-25.455584141999996,-12.048651020000001,-6.355339125,-2.4271433025,3.015226895823911,3.030495880040851,3.0373845082328272,1804,70.52384675527756
OLD_1M,ENTRY_PROBE,STALLED_PRESSURE_PROBE,SELL_STALLED,60,1867,4,0.015418129999999999,1.6845134,3.67650873,8.583890668999983,-7.816114187,-3.485003625,-1.49411184,-0.015173795,3.0123839102618923,3.0218373073012126,3.032660234422201,603,32.297803963577934
OLD_1M,ENTRY_PROBE,STALLED_PRESSURE_PROBE,SELL_STALLED,180,1838,4,1.400869445,3.706415225,6.6818933125,15.742252579999995,-14.434662246,-6.91719922,-3.3374547550000004,-0.901183135,3.012306779347022,3.0215268682343606,3.032849935436382,1059,57.61697497279652
OLD_1M,ENTRY_PROBE,STALLED_PRESSURE_PROBE,SELL_STALLED,300,1789,4,2.18861616,4.80521449,9.63758478,20.727437123999998,-19.431143,-8.90699327,-4.63220308,-1.54148639,3.011993759148931,3.0211525999283992,3.032278605758297,1191,66.57350475125769
OLD_1M,ENTRY_PROBE,STALLED_PRESSURE_PROBE,SELL_STALLED,600,1746,4,3.58683301,7.327746545,15.397683967499999,26.984308409999997,-28.95127343,-12.730887890000002,-6.754234224999999,-2.2285721800000005,3.0116660654231326,3.0207373625482283,3.0321326467186562,1381,79.0950744558992
OLD_1M,ENTRY_PROBE,STALLED_REVERSAL_PROBE,SELL_STALLED,60,1867,4,0.015173795,1.49411184,3.485003625,7.816114186999994,-8.583890668999999,-3.67650873,-1.6845134,-0.015418129999999999,3.0123839102618923,3.0218373073012126,3.032660234422201,547,29.298339582217462
OLD_1M,ENTRY_PROBE,STALLED_REVERSAL_PROBE,SELL_STALLED,180,1838,4,0.901183135,3.3374547550000004,6.91719922,14.434662245999997,-15.74225258,-6.6818933125,-3.706415225,-1.400869445,3.012306779347022,3.0215268682343606,3.032849935436382,973,52.9379760609358
OLD_1M,ENTRY_PROBE,STALLED_REVERSAL_PROBE,SELL_STALLED,300,1789,4,1.54148639,4.63220308,8.90699327,19.431143,-20.727437123999998,-9.63758478,-4.80521449,-2.18861616,3.011993759148931,3.0211525999283992,3.032278605758297,1118,62.49301285634433
OLD_1M,ENTRY_PROBE,STALLED_REVERSAL_PROBE,SELL_STALLED,600,1746,4,2.2285721800000005,6.754234224999999,12.730887890000002,28.95127343,-26.984308409999997,-15.397683967499999,-7.327746545,-3.58683301,3.0116660654231326,3.0207373625482283,3.0321326467186562,1252,71.70675830469645
