source_dataset,direction_class,hypothesis,state,window_sec,horizon_sec,jst_hour,n,match_pct,flat_pct,signed_mean_bps,signed_median_bps
NEW_05M,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,60,60,13,12,41.666666666666664,0.0,-0.07826055833333329,-0.35936925
NEW_05M,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,60,60,14,3,0.0,33.333333333333336,-0.45196215666666667,-0.01562534
NEW_05M,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,60,60,15,7,71.42857142857143,14.285714285714286,0.551692357142857,1.20388119
NEW_05M,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,60,60,16,7,14.285714285714286,14.285714285714286,-0.8906631071428571,-1.14065886
NEW_05M,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,60,60,17,9,44.44444444444444,11.11111111111111,-0.9465786944444444,0.0
NEW_05M,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,60,60,18,25,64.0,4.0,0.44257649720000003,0.42311128
NEW_05M,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,60,60,19,10,70.0,0.0,0.19682623800000001,0.570157215
NEW_05M,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,60,60,20,12,66.66666666666667,16.666666666666668,2.1638326316666667,0.77285591
NEW_05M,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,60,60,21,34,38.23529411764706,5.882352941176471,-0.22081619088235296,-0.28885415
NEW_05M,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,60,60,22,45,46.666666666666664,2.2222222222222223,-0.6657745864444445,-0.01560135
NEW_05M,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,60,60,23,65,53.84615384615385,1.5384615384615385,1.355832933846154,0.37409224
NEW_05M,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,60,180,0,29,65.51724137931035,0.0,1.6909319651724144,2.27976103
NEW_05M,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,60,180,1,40,57.5,0.0,-0.17570665300000002,0.88850631
NEW_05M,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,60,180,2,85,49.411764705882355,0.0,-0.008966166000000128,-0.01556638
NEW_05M,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,60,180,3,78,50.0,0.0,0.2950686379487181,-0.015783984999999997
