source_dataset,sample_scope,direction_class,hypothesis,state,window_sec,horizon_sec,n,match_n,mismatch_n,flat_n,match_pct,flat_pct,raw_mean_bps,raw_p05_bps,raw_p25_bps,raw_median_bps,raw_p75_bps,raw_p95_bps,signed_mean_bps,signed_p05_bps,signed_p25_bps,signed_median_bps,signed_p75_bps,signed_p95_bps
OLD_1M,ALL_QUALITY_VALID,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,180,180,511,240,271,0,46.96673189823875,0.0,-0.8256312423679063,-12.86596373,-4.86479046,-0.60359319,3.782007935,10.14376102,-0.8256312423679063,-12.86596373,-4.86479046,-0.60359319,3.782007935,10.14376102
OLD_1M,ALL_QUALITY_VALID,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,180,300,509,240,269,0,47.151277013752456,0.0,-0.5397852811198429,-14.68169394,-5.34142349,-0.55800289,4.51644727,13.66971040599999,-0.5397852811198429,-14.68169394,-5.34142349,-0.55800289,4.51644727,13.66971040599999
OLD_1M,ALL_QUALITY_VALID,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,180,600,498,259,239,0,52.00803212851405,0.0,-0.5509569338152608,-22.28647738,-7.0909119075,0.31730396,7.0549073825,19.12329406399998,-0.5509569338152608,-22.28647738,-7.0909119075,0.31730396,7.0549073825,19.12329406399998
OLD_1M,ALL_QUALITY_VALID,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,300,60,322,157,163,2,48.75776397515528,0.6211180124223602,0.07596400012422354,-5.7759212435,-2.1931292575,-0.06062633,2.2969127225,7.360906686999999,0.07596400012422354,-5.7759212435,-2.1931292575,-0.06062633,2.2969127225,7.360906686999999
OLD_1M,ALL_QUALITY_VALID,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,300,180,320,167,153,0,52.1875,0.0,0.20199752953125,-8.963472262,-3.2703420425000003,0.26398516,3.9202812924999995,11.004645501500004,0.20199752953125,-8.963472262,-3.2703420425000003,0.26398516,3.9202812924999995,11.004645501500004
OLD_1M,ALL_QUALITY_VALID,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,300,300,319,174,145,0,54.54545454545455,0.0,0.10851904090909127,-12.966198671999999,-4.191534115,0.85152194,4.72592295,10.838375601999997,0.10851904090909127,-12.966198671999999,-4.191534115,0.85152194,4.72592295,10.838375601999997
OLD_1M,ALL_QUALITY_VALID,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,300,600,303,156,147,0,51.48514851485149,0.0,1.3929301286798674,-13.598492027999999,-5.272098645,0.64836371,7.030283275,20.436250068999968,1.3929301286798674,-13.598492027999999,-5.272098645,0.64836371,7.030283275,20.436250068999968
OLD_1M,ALL_QUALITY_VALID,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,900,60,67,27,40,0,40.298507462686565,0.0,0.025419564925373117,-4.3385504479999994,-1.88414055,-0.34917261,1.260345815,5.858324325,0.025419564925373117,-4.3385504479999994,-1.88414055,-0.34917261,1.260345815,5.858324325
OLD_1M,ALL_QUALITY_VALID,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,900,180,67,30,37,0,44.776119402985074,0.0,-0.7783552916417911,-8.014242906,-5.214817065,-0.30129512,2.116388505,6.600086103999998,-0.7783552916417911,-8.014242906,-5.214817065,-0.30129512,2.116388505,6.600086103999998
OLD_1M,ALL_QUALITY_VALID,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,900,300,67,32,35,0,47.76119402985075,0.0,0.10782554611940287,-10.903227056999999,-4.909099565,-0.66292016,5.386594575,9.636006688999998,0.10782554611940287,-10.903227056999999,-4.909099565,-0.66292016,5.386594575,9.636006688999998
OLD_1M,ALL_QUALITY_VALID,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,900,600,65,35,30,0,53.84615384615385,0.0,1.814697532307693,-14.275143374,-4.50711578,1.19485878,9.01736448,14.813290585999995,1.814697532307693,-14.275143374,-4.50711578,1.19485878,9.01736448,14.813290585999995
OLD_1M,ALL_QUALITY_VALID,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,1800,60,45,17,26,2,37.77777777777778,4.444444444444445,0.09047442977777768,-3.453434006,-1.95592842,-0.0301033,2.60480556,5.063745233999996,0.09047442977777768,-3.453434006,-1.95592842,-0.0301033,2.60480556,5.063745233999996
OLD_1M,ALL_QUALITY_VALID,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,1800,180,45,27,18,0,60.0,0.0,1.594140218,-8.459033538,-1.76139298,1.74729583,5.77115777,9.90837415,1.594140218,-8.459033538,-1.76139298,1.74729583,5.77115777,9.90837415
OLD_1M,ALL_QUALITY_VALID,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,1800,300,45,28,17,0,62.22222222222222,0.0,1.636692584222222,-12.343194901999999,-2.48393018,3.26864824,7.33217303,11.067891653999993,1.636692584222222,-12.343194901999999,-2.48393018,3.26864824,7.33217303,11.067891653999993
OLD_1M,ALL_QUALITY_VALID,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,1800,600,45,25,20,0,55.55555555555556,0.0,0.9925404042222228,-13.88417239,-6.0426072,0.57580643,6.31915335,18.148071851999994,0.9925404042222228,-13.88417239,-6.0426072,0.57580643,6.31915335,18.148071851999994
OLD_1M,ALL_QUALITY_VALID,ANALYSIS,TRAPPED_REVERSAL,BUY_TRAPPED,30,60,283,153,124,6,54.063604240282686,2.1201413427561837,-0.23767207226148404,-7.816111092999998,-2.45325331,-0.22805398,2.106572565,6.327623839999995,0.23767207226148404,-6.327623839999999,-2.106572565,0.22805398,2.45325331,7.816111092999982
