source_dataset,direction_class,hypothesis,state,window_sec,horizon_sec,oi_context,n,match_pct,signed_mean_bps,signed_median_bps
NEW_05M,ANALYSIS,EFFECTIVE_CONTINUATION,SELL_EFFECTIVE,60,60,BUILDING,326,53.06748466257669,0.21811351757668698,0.11598236
NEW_05M,ANALYSIS,EFFECTIVE_CONTINUATION,SELL_EFFECTIVE,60,60,STALE,14,28.571428571428573,-0.18350320714285692,-1.046059275
NEW_05M,ANALYSIS,EFFECTIVE_CONTINUATION,SELL_EFFECTIVE,60,60,UNWINDING,284,51.76056338028169,0.020091774190140844,0.02343377
NEW_05M,ANALYSIS,EFFECTIVE_CONTINUATION,SELL_EFFECTIVE,60,180,BUILDING,317,50.473186119873816,0.14695769170347003,0.03119531
NEW_05M,ANALYSIS,EFFECTIVE_CONTINUATION,SELL_EFFECTIVE,60,180,STALE,14,42.857142857142854,-0.03179817428571458,-0.75237835
NEW_05M,ANALYSIS,EFFECTIVE_CONTINUATION,SELL_EFFECTIVE,60,180,UNWINDING,270,52.96296296296296,0.08035070051851845,0.28595784
NEW_05M,ANALYSIS,EFFECTIVE_CONTINUATION,SELL_EFFECTIVE,60,300,BUILDING,312,50.64102564102564,0.3449267026602564,0.13986839
NEW_05M,ANALYSIS,EFFECTIVE_CONTINUATION,SELL_EFFECTIVE,60,300,STALE,14,42.857142857142854,3.1269764585714293,-2.17652795
NEW_05M,ANALYSIS,EFFECTIVE_CONTINUATION,SELL_EFFECTIVE,60,300,UNWINDING,262,52.67175572519084,0.848459343931298,0.31719664999999997
NEW_05M,ANALYSIS,EFFECTIVE_CONTINUATION,SELL_EFFECTIVE,60,600,BUILDING,301,50.16611295681063,0.6534930575415282,0.04679297
NEW_05M,ANALYSIS,EFFECTIVE_CONTINUATION,SELL_EFFECTIVE,60,600,STALE,14,28.571428571428573,-3.6545719500000007,-11.3657099
NEW_05M,ANALYSIS,EFFECTIVE_CONTINUATION,SELL_EFFECTIVE,60,600,UNWINDING,253,48.22134387351779,-0.2130891069565216,-0.32281619
NEW_05M,ANALYSIS,EFFECTIVE_CONTINUATION,SELL_EFFECTIVE,180,60,BUILDING,167,49.70059880239521,0.1328125065868264,-0.0
NEW_05M,ANALYSIS,EFFECTIVE_CONTINUATION,SELL_EFFECTIVE,180,60,STALE,3,33.333333333333336,-0.9034353833333332,-1.63795053
NEW_05M,ANALYSIS,EFFECTIVE_CONTINUATION,SELL_EFFECTIVE,180,60,UNWINDING,187,49.73262032085562,-0.07032172096256681,-0.0
NEW_05M,ANALYSIS,EFFECTIVE_CONTINUATION,SELL_EFFECTIVE,180,180,BUILDING,164,46.951219512195124,-0.028257663475609714,-0.054637585
NEW_05M,ANALYSIS,EFFECTIVE_CONTINUATION,SELL_EFFECTIVE,180,180,STALE,3,33.333333333333336,-1.8940543299999997,-0.14039576
NEW_05M,ANALYSIS,EFFECTIVE_CONTINUATION,SELL_EFFECTIVE,180,180,UNWINDING,178,48.87640449438202,-0.5434084469662921,-0.0
NEW_05M,ANALYSIS,EFFECTIVE_CONTINUATION,SELL_EFFECTIVE,180,300,BUILDING,163,47.239263803680984,0.033904777239263786,-0.18709249
NEW_05M,ANALYSIS,EFFECTIVE_CONTINUATION,SELL_EFFECTIVE,180,300,STALE,3,33.333333333333336,-3.6941213366666665,-3.71268788
NEW_05M,ANALYSIS,EFFECTIVE_CONTINUATION,SELL_EFFECTIVE,180,300,UNWINDING,168,48.80952380952381,-0.05578580773809515,-0.015535075
NEW_05M,ANALYSIS,EFFECTIVE_CONTINUATION,SELL_EFFECTIVE,180,600,BUILDING,147,40.136054421768705,-1.3676378506802724,-1.76232065
NEW_05M,ANALYSIS,EFFECTIVE_CONTINUATION,SELL_EFFECTIVE,180,600,STALE,3,0.0,-4.476359583333333,-1.86452283
NEW_05M,ANALYSIS,EFFECTIVE_CONTINUATION,SELL_EFFECTIVE,180,600,UNWINDING,159,52.20125786163522,0.10044913150943402,0.07797113
NEW_05M,ANALYSIS,EFFECTIVE_CONTINUATION,SELL_EFFECTIVE,300,60,BUILDING,133,49.62406015037594,-0.21916402834586465,-0.0
NEW_05M,ANALYSIS,EFFECTIVE_CONTINUATION,SELL_EFFECTIVE,300,60,STALE,1,0.0,-3.72112803,-3.72112803
NEW_05M,ANALYSIS,EFFECTIVE_CONTINUATION,SELL_EFFECTIVE,300,60,UNWINDING,135,54.074074074074076,0.3155109605185185,0.07798195
NEW_05M,ANALYSIS,EFFECTIVE_CONTINUATION,SELL_EFFECTIVE,300,180,BUILDING,129,46.51162790697674,-0.18820655674418618,-0.32808399
NEW_05M,ANALYSIS,EFFECTIVE_CONTINUATION,SELL_EFFECTIVE,300,180,STALE,1,0.0,-2.70485357,-2.70485357
